"id","title","type","role_types","hub","description","commitment","commitment_type","is_paid","compensation","status","deadline","season","featured","plx_program","apply_url","learn_more_url","order","hero_image","long_description","what_youll_do","who_you_are","requirements","perks","timeline","faq","contact_email"
"executive-director","Executive Director","job","arts_admin","remote","Lead DAT's organizational operations, financial strategy, and institutional partnerships. The ED partners with the Artistic Director to drive the company's growth at a pivotal moment in its evolution.","Full-time","full-time","TRUE","Salary commensurate with experience","open","","2026–2027","TRUE","","/apply?opp=executive-director","","1","","As DAT completes its 20th season — twenty years of artist-led, community-rooted international theatre-making — we need an Executive Director who can hold the organization while we reach for what's next.

We've built Drama Clubs in Slovakia and Ecuador, mounted ACTion expeditions to Tanzania, Czechia, and beyond, grown an alumni network spanning continents, and developed a storytelling platform rooted in real community voices. Now we're building the infrastructure to scale thoughtfully and sustain what we've made.

This is a rare seat: direct partnership with the Artistic Director, meaningful creative proximity, and real institutional work. The ED will oversee operations, finance, development infrastructure, partnerships, and staff — and will help shape what DAT becomes over the next five years.","Oversee organizational operations, financial management, budgeting, and reporting
Manage and grow a lean staff team and network of contractors and PLX alumni
Drive institutional fundraising strategy alongside the Development team
Build and steward partnerships with funders, government bodies, universities, and community organizations
Serve as the primary liaison to the Board of Directors
Lead HR, compliance, and legal/organizational matters
Collaborate with the Artistic Director on strategic planning and season-level decisions","A builder — you've run organizations or departments before and you know what good systems feel like
Comfortable in financial complexity — budgets, reporting, and sustainability planning
A collaborative partner — you bring out the best in creative colleagues without needing to be the creative one
Committed to DAT's values: cross-cultural exchange, community rootedness, artistic rigor
Low-ego, high-ownership, ready to roll up your sleeves","5+ years of nonprofit leadership or equivalent experience
Financial management experience — budgets, cash flow, audit-readiness
Strong background in fundraising, grant management, or development infrastructure
Proven experience managing staff or teams
US-based or willing to work US hours
Ability to travel internationally at least once per year","Compensation range shared with qualified applicants
Open to full-time, fractional, or phased arrangements depending on fit and funding
Remote-first; in-person presence expected for key organizational moments
Creative proximity to a working international theatre company
Benefits and travel expectations discussed during the offer process","Applications Open :: Rolling
Introductory Calls :: Ongoing
Target Start :: Fall 2026 or Winter 2027","Is the salary posted? :: We share the range directly with qualified applicants. Write to jobs@dramaticadventure.com to learn more.
Does DAT have a Board? :: Yes. The ED reports to the Board and works closely with the Artistic Director.
Is this truly remote? :: Core team is distributed. In-person presence is expected for key organizational moments and field work. Field travel may be available when aligned with program needs and funding; travel is discussed before engagement and is not a substitute for agreed compensation.","jobs@dramaticadventure.com"
"development-partnerships-lead","Development & Partnerships Lead","job","arts_admin,development","remote","Build and steward DAT's funding base and institutional relationships. Lead grant strategy, major-donor cultivation, and the partnerships that sustain DAT's international work.","Full-time or fractional (open to both)","part-time","TRUE","Salary or contract rate commensurate with experience","open","","2026–2027","TRUE","","/apply?opp=development-partnerships-lead","","2","","DAT has a loyal donor base, a compelling story, and a track record of producing work across three continents. What we need is someone who can build the infrastructure around all that — a Development & Partnerships Lead who treats fundraising as a craft, not a chore.

This role is open to a full-time hire or a fractional/contract arrangement for the right person. You'll drive our grant calendar, deepen individual-donor relationships, and build the institutional connections that make international theatre possible.

Ecuador-based candidates, especially those based in Quito, are strongly encouraged to express interest. Bilingual Spanish/English candidates are especially welcome. This role may connect directly to DAT's Ecuador hub-building work, including ACTion, Drama Club, and local sponsor cultivation.","Lead DAT's annual grant calendar — research, write, track, report
Cultivate and steward a portfolio of individual major donors
Identify and pursue new institutional partnerships (universities, foundations, government arts agencies, corporate sponsors)
Manage our development database and donor communications cadence
Draft annual-fund campaigns, year-end appeals, and campaign-specific donor materials
Represent DAT at key partnership meetings and convenings
Collaborate with Comms on donor-facing storytelling","An experienced development professional with a strong writing portfolio
Comfortable asking for money and comfortable cultivating the relationship before the ask
Organized, deadline-driven, and genuinely curious about DAT's work
Able to work independently and communicate proactively","3+ years of nonprofit development experience
Demonstrated grant-writing success
Strong relationship-management instincts
Proficient with a CRM (Salesforce NPSP or similar)
US-based, remote-capable","Compensation commensurate with experience (salary or contract)
Meaningful mission with direct creative proximity
Remote-first
Access to DAT's global alumni and artistic network
Direct mentorship from DAT's Artistic Director and senior leadership
Priority consideration for expanded roles as DAT grows
Field travel may be available when aligned with program needs and funding; travel is discussed before engagement and is not a substitute for agreed compensation","Applications Open :: Rolling
Introductory Calls :: Ongoing
Target Start :: Fall 2026","","jobs@dramaticadventure.com"
"managing-producer","Managing Producer / Program Operations Lead","job","arts_admin","remote","Keep DAT's multi-continent program engine running. The Managing Producer owns logistics, timelines, budgets, and coordination across productions, residencies, and program cycles.","Full-time or part-time","part-time","TRUE","Salary or contract rate commensurate with experience","coming_soon","","2026–2027","TRUE","","/apply?opp=managing-producer","","3","","DAT's work runs across multiple countries, programs, and time zones simultaneously. Someone has to hold the map.

The Managing Producer is the operational core of the company: tracking timelines, managing program budgets, coordinating artists and staff, and making sure the productions, residencies, ACTion expeditions, and Drama Club seasons all stay on track and on budget. This is not a desk job. It's a craft role for someone who loves the systems that make creative work possible.","Manage production and program timelines across all active DAT projects
Oversee logistics for ACTion expeditions — travel, housing, visas, on-the-ground coordination
Build and track program budgets in partnership with the ED
Coordinate artists, staff, contractors, and local partners across productions
Manage the PLX program calendar and mentorship schedules
Keep project documentation current — reports, contracts, tracking sheets
Identify and problem-solve operational bottlenecks before they become crises","A producer by instinct — you see the whole board and the next three moves
Comfortable with international logistics and the chaos that comes with them
Detail-oriented without losing the big picture
Calm under pressure, generous in a crunch","3+ years producing theatre, events, or international programs
Strong project-management skills (Asana, Notion, or similar)
Budget management experience
Ability to travel internationally 1–2 times per year
Remote-capable and proactive communicator","Compensation commensurate with experience
Creative proximity to a working international theatre company
Remote-first
Opportunity to travel to a DAT project in the field (subject to production calendar and funding)","Expressions of Interest :: Open now — write to jobs@dramaticadventure.com
Target Start :: Fall 2026","","jobs@dramaticadventure.com"
"communications-story-lead","Communications & Story Lead","job","arts_admin,marketing","remote","Shape how DAT tells its story to the world. Lead content strategy, editorial voice, social media, and the communications infrastructure that connects our work to audiences, donors, and partners.","Part-time (20–30 hrs/wk) or full-time","part-time","TRUE","Salary or contract rate commensurate with experience","coming_soon","","2026–2027","TRUE","","/apply?opp=communications-story-lead","","4","","After twenty seasons of artist-led, community-rooted international theatre-making, DAT has more stories to tell than infrastructure to tell them. It's time to build that.

The Communications & Story Lead will shape the editorial and content infrastructure that lets DAT's work speak — across social media, the alumni storytelling platform, donor communications, press, and digital campaigns. This is a role for a writer-thinker who can hold DAT's voice with care while moving fast enough to capture the work as it happens.","Own DAT's editorial voice across all public channels
Build and maintain a content calendar tied to the season, programs, and fundraising cycles
Write and produce content for social (IG, TikTok, LinkedIn), email, and the alumni storytelling platform
Lead press outreach and media relations
Draft donor-facing narratives in partnership with Development
Coach teaching artists and field staff on documentation and content capture
Build and maintain DAT's communications infrastructure (email platform, templates, social scheduling)","A strong writer with a distinctive voice — you write like a human, not a press release
Fluent in social-content thinking, especially short-form video and editorial IG
Organized enough to build systems, scrappy enough to not need perfect conditions
Genuinely excited by DAT's story
Bilingual Spanish/English candidates are especially encouraged — DAT's Ecuador hub is an active story and a growing content territory","3+ years in communications, content, journalism, or related field
Writing portfolio required
Social media fluency (IG, TikTok, LinkedIn)
Email platform experience (Mailchimp, Klaviyo, or similar)
Remote-capable","Compensation commensurate with experience
Remote-first
Direct access to extraordinary stories
Opportunity to travel to a DAT project in the field (subject to production calendar and funding)","Expressions of Interest :: Open now — write to jobs@dramaticadventure.com
Target Start :: Fall 2026","","jobs@dramaticadventure.com"
"bookkeeper-finance-admin","Bookkeeper / Finance Admin","job","arts_admin","remote","Keep DAT's books clean, accurate, and audit-ready. Support the ED and Managing Producer with financial reporting, expense tracking, and grant financial documentation.","Part-time (5–10 hrs/wk)","part-time","TRUE","Contract rate TBD; hourly or monthly retainer","open","","2026–2027","FALSE","","/apply?opp=bookkeeper-finance-admin","","5","","DAT needs a part-time bookkeeper to own our financial hygiene — monthly reconciliation, expense categorization, payroll support, and clean reporting for grants and the Board. This is a fractional/contract role, ideal for a bookkeeper with nonprofit experience who manages a small portfolio of clients.","Monthly bank and credit card reconciliation
Categorize expenses by program and grant
Prepare financial reports for the ED and Board
Support grant financial reporting (actuals vs. budget)
Coordinate with payroll processor
Flag compliance concerns or irregularities","Detail-oriented and reliable
Comfortable with nonprofit fund accounting
Discreet and trustworthy with financial information","Bookkeeping or accounting experience
QuickBooks Online proficiency (or equivalent)
Nonprofit experience preferred
US-based, remote","Flexible hours
Steady retainer or hourly contract
Meaningful mission","Applications Open :: Rolling
Start :: ASAP","","jobs@dramaticadventure.com"
"local-project-producer","Local Project Producer","job","arts_admin,community_engagement","remote","Lead local production logistics for a specific DAT project — from an ACTion expedition to a Drama Club season or community residency. Project-based role tied to a specific geography and timeline.","2–6 months (project-based)","short-term","TRUE","Project-based contract fee; rate TBD","coming_soon","","2026–2027","TRUE","","/apply?opp=local-project-producer","","6","","DAT's next wave of projects — PASSAGE Slovakia 2026, Drama Club expansions, new community residencies in Ecuador and beyond — each needs a producer on the ground who knows the territory.

The Local Project Producer is a project-based contract role: you come in for a specific project, own the local logistics, and leave with a strong credit and a standing invitation to come back. We're building a bench of project producers across our active hubs as DAT builds toward Season 21 and beyond.

Ecuador-based and Quito-based candidates are especially encouraged to express interest. Bilingual Spanish/English is strongly preferred for Ecuador engagements. This role helps make Ecuador not just a program site, but a year-round DAT hub.","Own logistics for a specific DAT project in your city or region
Coordinate with local partners, venues, housing, and transport
Manage the local project budget and timeline
Serve as primary liaison between DAT HQ and on-the-ground reality
Support artist arrivals, orientations, and day-to-day production needs
Document the project for DAT's records and storytelling channels","Based in or deeply familiar with the project hub (Slovakia, Ecuador/Quito, NYC, etc.)
A practical, resourceful producer — you've managed logistics under pressure
Warm, bridge-building energy
Familiar with local arts, cultural, or community organizations
For Ecuador engagements: bilingual Spanish/English strongly preferred; Quito-based candidates especially welcome","2+ years of producing or event/project management experience
Based in or able to relocate to the project hub for the duration
References from prior production or community work","Project-based contract fee
Housing support where applicable
DAT alumni network access
First right of refusal on future projects in your hub","Slovakia 2026 :: Inquiry now; field period July–August 2026
Other Hubs :: Inquire; we'll match you when the right project opens","","jobs@dramaticadventure.com"
"slovakia-2026-local-producer","Slovakia 2026 — Local Producer / Ground Coordinator","job","arts_admin,community_engagement","brno","Own the on-the-ground logistics for PASSAGE: Slovakia 2026 (July 12–August 2). You know Slovakia — its venues, transport, hospitality, and arts landscape. Project-based contract; urgent hire.","May–August 2026 (pre-production + in-field)","short-term","TRUE","Project-based contract fee; rate shared with qualified applicants","open","2026-05-31","Season 21","TRUE","","/apply?opp=slovakia-2026-local-producer","","7","","PASSAGE: Slovakia 2026 runs July 12–August 2, moving through Bratislava, Košice, Zemplínska Teplica, and Slovenský Raj. We need someone on the ground in Slovakia who can own the local logistics — venues, housing, transport, local partnerships, and day-to-day production reality.

This is an urgent, time-specific role. Pre-production begins immediately; in-field dates are July 12–August 2. We need someone who knows Slovakia, can move quickly, and has a producer’s instinct for solving problems before they become crises.","Secure and confirm venues, housing, and transport for all stops on the route
Serve as primary local contact for DAT HQ throughout pre-production and in-field
Coordinate with local community partners, arts organizations, and cultural contacts
Manage the local project budget and logistics timeline
Support artist arrivals, orientations, and day-to-day production needs in the field
Document logistics decisions and local context for DAT’s records","Based in Slovakia or with deep working knowledge of the country
A practical, resourceful producer — you’ve managed logistics under pressure
Fluent or highly functional in Slovak (English also required)
Connected to local arts, cultural, or community organizations
Available to commit to the full pre-production and in-field window","Based in Slovakia or able to be fully present there from June onward
2+ years of producing, event management, or project coordination experience
Strong working knowledge of at least two route regions: Bratislava, Košice, Zemplínska Teplica, or Slovenský Raj
References from prior production or community work
Fluency or working proficiency in Slovak","Project-based contract fee (rate discussed with qualified applicants)
Housing support during in-field period where applicable
DAT alumni network access
First right of refusal on future DAT projects in Slovakia or Central Europe","Applications :: Urgent — apply immediately
Decisions :: By end of May 2026
Pre-Production :: June–July 2026
In-Field :: July 12 – August 2, 2026","How urgent is this? :: Very. PASSAGE: Slovakia 2026 runs July 12–August 2. Pre-production needs to begin in June. Please apply now if you’re interested.
Is this a paid role? :: Yes. Project-based contract fee; rate shared directly with qualified applicants.","jobs@dramaticadventure.com"
"participant-donor-coordinator","Participant & Donor Coordinator","job","arts_admin,community_engagement","remote","Manage communications and relationships with program participants, travelers, and donors. Own the inbox, CRM hygiene, and the day-to-day connections that keep DAT's community close.","Part-time (15–20 hrs/wk)","part-time","TRUE","Contract rate TBD; hourly or monthly","coming_soon","","2026–2027","FALSE","","/apply?opp=participant-donor-coordinator","","7","","DAT's community is its greatest asset — artists, donors, travelers, Drama Club families, alumni, volunteers. The Participant & Donor Coordinator is the warm human voice that keeps these relationships alive between programs.

You'll manage communications workflows, CRM records, and the day-to-day touchpoints that make people feel seen and appreciated.

Ecuador-based candidates, especially those based in Quito, are encouraged to express interest. Bilingual Spanish/English is a meaningful asset for this role given DAT's active Ecuador programs.","Manage participant and donor communications workflows and templates
Maintain CRM records — data entry, segmentation, tagging
Coordinate donor acknowledgements, gift processing, and tax receipts
Support program enrollment communications for ACTion, Drama Clubs, and PLX
Assist with event RSVPs, follow-up, and logistics
Flag relationship opportunities and at-risk donor signals to the Development team","Warm, organized, and genuinely people-oriented
Comfortable managing a busy inbox and a CRM simultaneously
Takes pride in clear, friendly communication
Good at reading between the lines of a donor or participant relationship","1–2 years in donor relations, customer service, program coordination, or similar
CRM experience (Salesforce, HubSpot, or similar)
Remote-capable, reliable with deadlines","Flexible hours
Remote
Steady contract
Direct relationship with DAT's global community
Access to DAT's alumni and artistic network
Mentorship from DAT's development and program teams
Priority consideration for future expanded roles","Expressions of Interest :: Open now — write to jobs@dramaticadventure.com
Target Start :: As soon as possible","","jobs@dramaticadventure.com"
"fundraising-ambassador","Fundraising Ambassador","volunteer","development,general","remote","Help DAT grow its individual-donor base by sharing the story with your network. No cold calling — just warm connections and a genuine belief in what DAT does.","2–4 hrs/month","flexible","FALSE","Volunteer","evergreen","","","FALSE","","/apply?opp=fundraising-ambassador","","1","","DAT's most effective fundraisers are the people who've been changed by the work — alumni, travelers, Drama Club families, friends. The Fundraising Ambassador formalizes what many of you already do: tell the story, make the introduction, invite someone into the community. We'll give you the tools, the talking points, and the support.","Identify 5–10 people in your network who might connect with DAT
Share DAT's story through personal outreach or social media
Invite prospects to events, the alumni platform, or a direct conversation
Participate in a monthly Ambassadors call (optional but encouraged)
Report back on connections made","A genuine DAT believer — you've seen the work, been part of it, or been moved by it
Comfortable having personal conversations about causes you care about
Connected in arts, education, philanthropy, or community","18 years or older
DAT alumni or close community member preferred","Direct briefings from Jesse on DAT's strategy and vision
Invitations to donor events and salons
Recognition in DAT's annual report
First look at new programs and projects","Rolling :: Join anytime
Monthly Ambassadors Call :: Optional; first Monday of the month","","info@dramaticadventure.com"
"alumni-outreach-captain","Alumni Outreach Captain","volunteer","community_engagement,general","remote","Help DAT reconnect with lost alumni, re-engage lapsed community members, and keep the network alive and growing. A role for someone with strong relationship instincts and a long memory.","3–5 hrs/month","flexible","FALSE","Volunteer","evergreen","","","FALSE","","/apply?opp=alumni-outreach-captain","","2","","DAT has thousands of alumni across every continent. Many haven't heard from us in years. The Alumni Outreach Captain helps us change that — making personal connections, sharing news, and inviting people back into the fold. This is a warm, relationship-first role for someone who loves people and understands what it means to belong to something.","Identify alumni in your region or cohort who've gone quiet
Reach out personally — a message, an email, an introduction
Invite alumni to update their stories on the alumni platform
Flag high-engagement alumni who might be ready for a deeper role
Contribute to a quarterly Alumni Network report","A natural connector
A DAT alumnus or close community member with strong network instincts
Warm, persistent, and genuinely interested in people","18 years or older
DAT alumni preferred
Comfortable with email outreach and social media","Invitations to alumni events, salons, and convenings
Quarterly briefings from the DAT team on programs, strategy, and upcoming projects
Recognition in DAT's network communications and annual report
Access to DAT's alumni and artistic network
Letter of reference available","Rolling :: Join anytime","","info@dramaticadventure.com"
